username,rating,comments,label,comments_processed,comments_clear_link,comments_clear_punctuation,comments_clear_special,comments_cleaned,comments_normalized,clean_comments
thanhngannehehe,5,"Áo màu sắc đẹp, vải dày dặn, đường may tinh tế, form áo vừa vặn. 1m82, 90 kg mặc vừa 3XL nha.
Giao hàng nhanh chóng, đóng gói cẩn thận. Sản phẩm của yody thì chất lượng khỏi bàn",1,"áo màu_sắc_đẹp , vải dày_dặn , đường may tinh_tế , form áo vừa vặn . 1 m82 , 90 kg mặc vừa 3 xl_nha . giao hàng nhanh_chóng , đóng_gói cẩn_thận . sản_phẩm của yody chất_lượng khỏi bàn","Áo màu sắc đẹp, vải dày dặn, đường may tinh tế, form áo vừa vặn. 1m82, 90 kg mặc vừa 3XL nha.
Giao hàng nhanh chóng, đóng gói cẩn thận. Sản phẩm của yody thì chất lượng khỏi bàn","Áo màu sắc đẹp vải dày dặn đường may tinh tế form áo vừa vặn 1m82 90 kg mặc vừa 3XL nha
Giao hàng nhanh chóng đóng gói cẩn thận Sản phẩm của yody thì chất lượng khỏi bàn", o m u s c   p  v i d y d n     ng may tinh t   form  o v a v n   m       kg m c v a  XL nha  Giao h ng nhanh ch ng    ng g i c n th n  S n ph m c a yody th  ch t l  ng kh i b n, o m u s c   p v i d y d n    ng may tinh t  form  o v a v n  m      kg m c v a  xl nha giao h ng nhanh ch ng   ng g i c n th n s n ph m c a yody th  ch t l  ng kh i b n,"Áo màu sắc đẹp, vải dày dặn, đường may tinh tế, form áo vừa vặn. 1m82, 90 kg mặc vừa 3XL nha. Giao hàng nhanh chóng, đóng gói cẩn thận. Sản phẩm của yody thì chất lượng khỏi bàn",áo vải đường may form áo kg mặc vừa nha giao hàng yody khỏi bàn
thu_nv1985,5,"Chất liệu:tốt
Đúng với mô tả:sản phẩm đúng mô tả
Màu sắc:chuẩn,đẹp

Rất hài lòng với hàng của shop,tư vấn rất nhiệt tình,đóng gói cẩn thận,giao hàng nhanh",1,"chất_liệu : tốt đúng mô_tả : sản_phẩm đúng mô_tả màu_sắc : chuẩn , đẹp hài_lòng hàng của shop , tư_vấn nhiệt_tình , đóng_gói cẩn_thận , giao hàng nhanh","Chất liệu:tốt
Đúng với mô tả:sản phẩm đúng mô tả
Màu sắc:chuẩn,đẹp

Rất hài lòng với hàng của shop,tư vấn rất nhiệt tình,đóng gói cẩn thận,giao hàng nhanh","Chất liệutốt
Đúng với mô tảsản phẩm đúng mô tả
Màu sắcchuẩnđẹp

Rất hài lòng với hàng của shoptư vấn rất nhiệt tìnhđóng gói cẩn thậngiao hàng nhanh",Ch t li u t t   ng v i m  t  s n ph m   ng m  t  M u s c chu n   p  R t h i l ng v i h ng c a shop t  v n r t nhi t t nh   ng g i c n th n giao h ng nhanh,ch t li ut t   ng v i m  t s n ph m   ng m  t  m u s cchu n  p  r t h i l ng v i h ng c a shopt  v n r t nhi t t nh  ng g i c n th ngiao h ng nhanh,"Chất liệu:tốt Đúng với mô tả:sản phẩm đúng mô tả Màu sắc:chuẩn,đẹp Rất hài lòng với hàng của shop,tư vấn rất nhiệt tình,đóng gói cẩn thận,giao hàng nhanh",tốt đúng đúng chuẩn đẹp hàng shop giao hàng nhanh
thanhthao5000,5,"Màu sắc:đỏ
Đúng với mô tả:đúng

Mình cái 1m65 nặng 70kg mặc XL vừa sít luôn. Màu đẹp, chất lượng tốt. Giá quá rẻ. Mà k hiểu sao cùng mẫu mà màu đỏ thì hơn 200k. Còn các màu khác tận gần 500k",1,"màu_sắc : đỏ đúng mô_tả : đúng cái 1 m65 nặng 70 kg mặc xl vừa sít luôn . màu đẹp , chất_lượng tốt . giá quá rẻ . mà không hiểu sao cùng mẫu mà màu đỏ hơn 200 không . còn màu khác tận gần 500 không","Màu sắc:đỏ
Đúng với mô tả:đúng

Mình cái 1m65 nặng 70kg mặc XL vừa sít luôn. Màu đẹp, chất lượng tốt. Giá quá rẻ. Mà k hiểu sao cùng mẫu mà màu đỏ thì hơn 200k. Còn các màu khác tận gần 500k","Màu sắcđỏ
Đúng với mô tảđúng

Mình cái 1m65 nặng 70kg mặc XL vừa sít luôn Màu đẹp chất lượng tốt Giá quá rẻ Mà k hiểu sao cùng mẫu mà màu đỏ thì hơn 200k Còn các màu khác tận gần 500k",M u s c      ng v i m  t    ng  M nh c i  m   n ng   kg m c XL v a s t lu n  M u   p  ch t l  ng t t  Gi  qu  r   M  k hi u sao c ng m u m  m u    th  h n    k  C n c c m u kh c t n g n    k,m u s c     ng v i m  t   ng  m nh c i  m   n ng   kg m c xl v a s t lu n m u   p ch t l  ng t t gi  qu  r  m  k hi u sao c ng m u m  m u    th  h n    k c n c c m u kh c t n g n    k,"Màu sắc:đỏ Đúng với mô tả:đúng Mình cái 1m65 nặng 70kg mặc XL vừa sít luôn. Màu đẹp, chất lượng tốt. Giá quá rẻ. Mà không hiểu sao cùng mẫu mà màu đỏ thì hơn 200k. Còn các màu khác tận gần 500k",đỏ đúng đúng mình cái nặng mặc xl vừa sít luôn màu đẹp tốt giá quá rẻ k hiểu cùng mẫu màu đỏ hơn còn màu khác tận gần
thomai356,5,"Màu sắc:tim than
Đúng với mô tả:đúng với hình ảnh
Chất liệu:vai gio

Mua cho chồng,màu tím than đẹp,có xu va áp vocher được giá,sẽ ủng hộ shop lần sau",1,"màu_sắc : tim than đúng mô_tả : đúng hình_ảnh chất_liệu : vai gio mua chồng , màu tím than đẹp , xu_va áp_vocher được_giá , sẽ ủng_hộ shop lần sau","Màu sắc:tim than
Đúng với mô tả:đúng với hình ảnh
Chất liệu:vai gio

Mua cho chồng,màu tím than đẹp,có xu va áp vocher được giá,sẽ ủng hộ shop lần sau","Màu sắctim than
Đúng với mô tảđúng với hình ảnh
Chất liệuvai gio

Mua cho chồngmàu tím than đẹpcó xu va áp vocher được giásẽ ủng hộ shop lần sau",M u s c tim than   ng v i m  t    ng v i h nh  nh Ch t li u vai gio  Mua cho ch ng m u t m than   p c  xu va  p vocher    c gi  s   ng h  shop l n sau,m u s ctim than   ng v i m  t   ng v i h nh  nh ch t li uvai gio  mua cho ch ngm u t m than   pc  xu va  p vocher    c gi s   ng h  shop l n sau,"Màu sắc:tim than Đúng với mô tả:đúng với hình ảnh Chất liệu:vai gio Mua cho chồng,màu tím than đẹp,có xu va áp vocher được giá,sẽ ủng hộ shop lần sau",tim than đúng đúng vai gio mua chồng màu đẹp xu va áp vocher giá sẽ shop lần sau
b*****6,5,"Đúng với mô tả:ok
Màu sắc:tím than
Chất liệu:giống vải dù

Hàng yody thì khỏi phải nói nữa goy chất liệu khá tốt 2 vợ chồng mua đồ miết áo khoác áo polo hơn cả chục cái ạ. Sẽ ùn hộ miết thoi.",1,đúng mô_tả : ok màu_sắc : tím than chất_liệu : giống vải dù hàng yody khỏi_phải_nói nữa goy chất_liệu khá tốt 2 vợ_chồng mua đồ_miết áo_khoác áo_polo hơn cả chục cái ạ . sẽ ùn hộ miết thoi .,"Đúng với mô tả:ok
Màu sắc:tím than
Chất liệu:giống vải dù

Hàng yody thì khỏi phải nói nữa goy chất liệu khá tốt 2 vợ chồng mua đồ miết áo khoác áo polo hơn cả chục cái ạ. Sẽ ùn hộ miết thoi.","Đúng với mô tảok
Màu sắctím than
Chất liệugiống vải dù

Hàng yody thì khỏi phải nói nữa goy chất liệu khá tốt 2 vợ chồng mua đồ miết áo khoác áo polo hơn cả chục cái ạ Sẽ ùn hộ miết thoi",  ng v i m  t  ok M u s c t m than Ch t li u gi ng v i d   H ng yody th  kh i ph i n i n a goy ch t li u kh  t t   v  ch ng mua    mi t  o kho c  o polo h n c  ch c c i    S   n h  mi t thoi ,  ng v i m  t ok m u s ct m than ch t li ugi ng v i d   h ng yody th  kh i ph i n i n a goy ch t li u kh  t t   v  ch ng mua    mi t  o kho c  o polo h n c  ch c c i   s   n h  mi t thoi,Đúng với mô tả:ok Màu sắc:tím than Chất liệu:giống vải dù Hàng yody thì khỏi phải nói nữa goy chất liệu khá tốt 2 vợ chồng mua đồ miết áo khoác áo polo hơn cả chục cái ạ. Sẽ ùn hộ miết thoi.,đúng ok giống vải dù hàng yody khỏi phải nói nữa goy khá tốt mua đồ miết polo hơn cả chục cái sẽ ùn hộ miết thoi
p*****4,5,"Chất liệu:gió
Màu sắc:ghi
Đúng với mô tả:ok

sản phẩm đúng mô tả, vải gió giữ ấm tốt. màu nhã nhặn. ck mình thích hehehehe",1,"chất_liệu : gió màu_sắc : ghi đúng mô_tả : ok sản_phẩm đúng mô_tả , vải gió giữ ấm tốt . màu nhã_nhặn . ck thích hehehehe","Chất liệu:gió
Màu sắc:ghi
Đúng với mô tả:ok

sản phẩm đúng mô tả, vải gió giữ ấm tốt. màu nhã nhặn. ck mình thích hehehehe","Chất liệugió
Màu sắcghi
Đúng với mô tảok

sản phẩm đúng mô tả vải gió giữ ấm tốt màu nhã nhặn ck mình thích hehehehe",Ch t li u gi  M u s c ghi   ng v i m  t  ok  s n ph m   ng m  t   v i gi  gi   m t t  m u nh  nh n  ck m nh th ch hehehehe,ch t li ugi  m u s cghi   ng v i m  t ok  s n ph m   ng m  t  v i gi  gi   m t t m u nh  nh n ck m nh th ch hehehehe,"Chất liệu:gió Màu sắc:ghi Đúng với mô tả:ok sản phẩm đúng mô tả, vải gió giữ ấm tốt. màu nhã nhặn. ck mình thích hehehehe",gió ghi đúng ok đúng vải gió giữ ấm tốt màu ck mình thích hehehehe
ngatran2191,5,"Đúng với mô tả:đúng
Màu sắc:xanh than
Chất liệu:polyeste

Nhìn bề ngoài đường may khá chắc chắn, k chỉ thừa. Sản phẩm có vẻ tốt, đã mua hàng bên yody nhiều lần thấy sử dụng ổn. Lần đầu mua áo gió này trải nghiệm một thời gian xem thế nào. Nếu tốt như mô tả sẽ quay lại mua tiếp",1,"đúng mô_tả : đúng màu_sắc : xanh than chất_liệu : polyeste nhìn bề_ngoài đường may khá chắc_chắn , không_chỉ thừa . sản_phẩm có_vẻ tốt , mua hàng bên yody nhiều lần thấy sử_dụng ổn . lần đầu mua áo_gió trải_nghiệm thời_gian xem thế_nào . nếu tốt như mô_tả sẽ quay mua tiếp","Đúng với mô tả:đúng
Màu sắc:xanh than
Chất liệu:polyeste

Nhìn bề ngoài đường may khá chắc chắn, k chỉ thừa. Sản phẩm có vẻ tốt, đã mua hàng bên yody nhiều lần thấy sử dụng ổn. Lần đầu mua áo gió này trải nghiệm một thời gian xem thế nào. Nếu tốt như mô tả sẽ quay lại mua tiếp","Đúng với mô tảđúng
Màu sắcxanh than
Chất liệupolyeste

Nhìn bề ngoài đường may khá chắc chắn k chỉ thừa Sản phẩm có vẻ tốt đã mua hàng bên yody nhiều lần thấy sử dụng ổn Lần đầu mua áo gió này trải nghiệm một thời gian xem thế nào Nếu tốt như mô tả sẽ quay lại mua tiếp",  ng v i m  t    ng M u s c xanh than Ch t li u polyeste  Nh n b  ngo i    ng may kh  ch c ch n  k ch  th a  S n ph m c  v  t t     mua h ng b n yody nhi u l n th y s  d ng  n  L n   u mua  o gi  n y tr i nghi m m t th i gian xem th  n o  N u t t nh  m  t  s  quay l i mua ti p,  ng v i m  t   ng m u s cxanh than ch t li upolyeste  nh n b  ngo i    ng may kh  ch c ch n k ch  th a s n ph m c  v  t t    mua h ng b n yody nhi u l n th y s  d ng  n l n   u mua  o gi  n y tr i nghi m m t th i gian xem th  n o n u t t nh  m  t  s  quay l i mua ti p,"Đúng với mô tả:đúng Màu sắc:xanh than Chất liệu:polyeste Nhìn bề ngoài đường may khá chắc chắn, không chỉ thừa. Sản phẩm có vẻ tốt, đã mua hàng bên yody nhiều lần thấy sử dụng ổn. Lần đầu mua áo gió này trải nghiệm một thời gian xem thế nào. Nếu tốt như mô tả sẽ quay lại mua tiếp",đúng đúng xanh than polyeste nhìn đường may khá k chỉ thừa vẻ tốt mua hàng bên yody nhiều lần thấy ổn lần đầu mua trải nghiệm xem tốt sẽ quay mua tiếp
u2at248y3q,5,"Màu sắc:tim than
Chất liệu:mát
Đúng với mô tả:đúng

Giao tới khoảng 4 ngày, màu đẹp, vừa form, tư vấn nhiệt tình, Yody thì thương hiệu tốt rồi. Look good-feel good ",1,"màu_sắc : tim than chất_liệu : mát đúng mô_tả : đúng giao tới khoảng 4 ngày , màu đẹp , vừa form , tư_vấn nhiệt_tình , yody thương_hiệu tốt rồi . look good-feel good","Màu sắc:tim than
Chất liệu:mát
Đúng với mô tả:đúng

Giao tới khoảng 4 ngày, màu đẹp, vừa form, tư vấn nhiệt tình, Yody thì thương hiệu tốt rồi. Look good-feel good ","Màu sắctim than
Chất liệumát
Đúng với mô tảđúng

Giao tới khoảng 4 ngày màu đẹp vừa form tư vấn nhiệt tình Yody thì thương hiệu tốt rồi Look goodfeel good ",M u s c tim than Ch t li u m t   ng v i m  t    ng  Giao t i kho ng   ng y  m u   p  v a form  t  v n nhi t t nh  Yody th  th  ng hi u t t r i  Look good feel good ,m u s ctim than ch t li um t   ng v i m  t   ng  giao t i kho ng   ng y m u   p v a form t  v n nhi t t nh yody th  th  ng hi u t t r i look goodfeel good ,"Màu sắc:tim than Chất liệu:mát Đúng với mô tả:đúng Giao tới khoảng 4 ngày, màu đẹp, vừa form, tư vấn nhiệt tình, Yody thì thương hiệu tốt rồi. Look good-feel good",tim than mát đúng đúng giao tới khoảng ngày màu đẹp vừa form yody tốt rồi look good feel good
sumisony,5,"Chất liệu:ok
Màu sắc:ok
Đúng với mô tả:ok

Hàng dày dặn màu đẹp cản gió trượt nước tốt áo phom rộng mặc ấm nhẹ hàng sale nên giá cũng ổn hơn so với cửa hàng",1,chất_liệu : ok màu_sắc : ok đúng mô_tả : ok hàng dày_dặn màu đẹp_cản gió trượt nước tốt áo phom rộng mặc ấm nhẹ hàng sale nên giá cũng ổn hơn so cửa_hàng,"Chất liệu:ok
Màu sắc:ok
Đúng với mô tả:ok

Hàng dày dặn màu đẹp cản gió trượt nước tốt áo phom rộng mặc ấm nhẹ hàng sale nên giá cũng ổn hơn so với cửa hàng","Chất liệuok
Màu sắcok
Đúng với mô tảok

Hàng dày dặn màu đẹp cản gió trượt nước tốt áo phom rộng mặc ấm nhẹ hàng sale nên giá cũng ổn hơn so với cửa hàng",Ch t li u ok M u s c ok   ng v i m  t  ok  H ng d y d n m u   p c n gi  tr  t n  c t t  o phom r ng m c  m nh  h ng sale n n gi  c ng  n h n so v i c a h ng,ch t li uok m u s cok   ng v i m  t ok  h ng d y d n m u   p c n gi  tr  t n  c t t  o phom r ng m c  m nh  h ng sale n n gi  c ng  n h n so v i c a h ng,Chất liệu:ok Màu sắc:ok Đúng với mô tả:ok Hàng dày dặn màu đẹp cản gió trượt nước tốt áo phom rộng mặc ấm nhẹ hàng sale nên giá cũng ổn hơn so với cửa hàng,ok ok đúng ok hàng màu đẹp cản gió trượt nước tốt áo phom rộng mặc ấm nhẹ hàng sale giá cũng ổn hơn so
danphuong.tran,5,"Chất liệu:Đẹp , thoáng
Màu sắc:màu đen đậm
Đúng với mô tả:đúng với hình ảnh và lời quảng cáo, ship giao nhanh, mua với giá rẻ như này cũng ok lắm rồi, ủng hộ shop nhiều lần",1,"chất_liệu : đẹp , thoáng màu_sắc : màu đen đậm đúng mô_tả : đúng hình_ảnh lời quảng_cáo , ship giao nhanh , mua giá rẻ như cũng ok lắm rồi , ủng_hộ shop nhiều lần","Chất liệu:Đẹp , thoáng
Màu sắc:màu đen đậm
Đúng với mô tả:đúng với hình ảnh và lời quảng cáo, ship giao nhanh, mua với giá rẻ như này cũng ok lắm rồi, ủng hộ shop nhiều lần","Chất liệuĐẹp  thoáng
Màu sắcmàu đen đậm
Đúng với mô tảđúng với hình ảnh và lời quảng cáo ship giao nhanh mua với giá rẻ như này cũng ok lắm rồi ủng hộ shop nhiều lần",Ch t li u   p   tho ng M u s c m u  en   m   ng v i m  t    ng v i h nh  nh v  l i qu ng c o  ship giao nhanh  mua v i gi  r  nh  n y c ng ok l m r i   ng h  shop nhi u l n,ch t li u  p  tho ng m u s cm u  en   m   ng v i m  t   ng v i h nh  nh v  l i qu ng c o ship giao nhanh mua v i gi  r  nh  n y c ng ok l m r i  ng h  shop nhi u l n,"Chất liệu:Đẹp , thoáng Màu sắc:màu đen đậm Đúng với mô tả:đúng với hình ảnh và lời quảng cáo, ship giao nhanh, mua với giá rẻ như này cũng ok lắm rồi, ủng hộ shop nhiều lần",đẹp thoáng màu đúng đúng lời ship giao nhanh mua giá rẻ cũng ok rồi shop nhiều lần
